CELLINE,DRUG,ADDITIVE,ADDITIVE_CONC,REPEAT,REP,DRUG_CONC,DV,CELLINE_DRUG_ADDITIVE,CELLINE_DRUG_ADDITIVE_ADDITIVECONC,CELLINE_DRUG_ADDITIVE_ADDITIVECONC_REPEAT,CELLINE_NAME,DRUG_NAME,ADDITIVE_NAME,CELLINE_DRUG_ADDITIVE_NAME
1,1,1,0,1,1,0,0.928496319663512,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,1,0.000762078951379363,0.879361437721059,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,1,0.00228623685413809,0.789981837300449,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,1,0.00685871056241427,0.640474142051429,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,1,0.0205761316872428,0.233438485804416,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,1,0.0617283950617284,0.232864926871236,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,1,0.185185185185185,0.139566007073893,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,1,0.555555555555556,0.115285345569257,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,1,1.66666666666667,0.112895516681006,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,2,0,0.819615715514769,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,2,0.000762078951379363,0.832425198355798,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,2,0.00228623685413809,0.854507217283243,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,2,0.00685871056241427,0.608068062326737,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,2,0.0205761316872428,0.35847433323774,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,2,0.0617283950617284,0.235254755759488,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,2,0.185185185185185,0.138323296052003,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,2,0.555555555555556,0.123315170633783,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,2,1.66666666666667,0.114520600325017,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,3,0,0.961858330943504,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,3,0.000762078951379363,0.973138323296052,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,3,0.00228623685413809,0.944842749259153,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,3,0.00685871056241427,0.7465825446898,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,3,0.0205761316872428,0.44708918841411,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,3,0.0617283950617284,0.236975432559029,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,3,0.185185185185185,0.152566676225982,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,3,0.555555555555556,0.124749067966734,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,1,3,1.66666666666667,0.107829079437912,1,1,1,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,1,0,0.900507057694943,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,1,0.000762078951379363,0.837947101548582,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,1,0.00228623685413809,0.835617377004248,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,1,0.00685871056241427,0.662875154172948,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,1,0.0205761316872428,0.417500342606551,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,1,0.0617283950617284,0.155680416609566,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,1,0.185185185185185,0.130259010552282,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,1,0.555555555555556,0.0873646704124983,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,1,1.66666666666667,0.068726874057832,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,2,0,0.932712073454845,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,2,0.000762078951379363,0.827326298478827,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,2,0.00228623685413809,0.963683705632452,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,2,0.00685871056241427,0.706454707414006,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,2,0.0205761316872428,0.525010278196519,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,2,0.0617283950617284,0.165341921337536,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,2,0.185185185185185,0.149239413457585,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,2,0.555555555555556,0.0912018637796355,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,2,1.66666666666667,0.0816088803617925,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0,0.825065095244621,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.000762078951379363,1.11950116486227,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.00228623685413809,1.27422228313005,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.00685871056241427,0.753528847471564,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.0205761316872428,0.586747978621351,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.0617283950617284,0.179114704673153,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.185185185185185,0.183637111141565,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,0.555555555555556,0.0986706865835275,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,2,3,1.66666666666667,0.0986021652734,1,1,2,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0,1.25071115973742,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.000762078951379363,1.14436542669584,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.00228623685413809,0.658424507658643,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.00685871056241427,0.828364332603939,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.0205761316872428,0.553063457330416,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.0617283950617284,0.344556892778993,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.185185185185185,0.217614879649891,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,0.555555555555556,0.17527352297593,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,1,1.66666666666667,0.146307439824945,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0,1.1656181619256,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.000762078951379363,1.10202407002188,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.00228623685413809,1.11031181619256,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.00685871056241427,0.867669584245077,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.0205761316872428,0.594912472647702,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.0617283950617284,0.384518599562363,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.185185185185185,0.279075492341357,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,0.555555555555556,0.26660284463895,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,2,1.66666666666667,0.174781181619256,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0,1.22658643326039,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.000762078951379363,0.956126914660831,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.00228623685413809,0.887527352297593,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.00685871056241427,0.615426695842451,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.0205761316872428,0.416028446389497,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.0617283950617284,0.249617067833698,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.185185185185185,0.261351203501094,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,0.555555555555556,0.183068927789934,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,3,3,1.66666666666667,0.168298687089716,1,1,3,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,0,1.09200939362919,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,0,4,1,0.000762078951379363,1.0296862768712,1,1,4,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
